VDP,281,32.30,5030,-2.12 %,0.93
DBD,2341.3,44.70,57550,-2.19 %,1.55
PXI,96.6,3.22,11480,-2.42 %,0.49
TTF,1752,5.63,2453380,-2.43 %,0.69
AMD,434.9,2.66,1454590,-2.56 %,0.92
VFG,1524.4,47.50,0,-2.66 %,0
TNI,153.8,2.93,509830,-2.66 %,1.01
TCD,496.6,10.50,4660,-2.78 %,0.73
CLC,815.1,31.10,7100,-2.81 %,1.86
AAM,135.8,11.00,20,-3.08 %,0.01
ROS,1231.7,2.17,4279660,-3.13 %,0.93
HPX,6347.9,27.60,492230,-3.16 %,1.10
TCR,36.6,3.53,70,-3.29 %,0.06
LIX,1746.4,53.90,34910,-3.38 %,0.52
STG,1395.2,14.20,500,-3.40 %,0.25
VSI,220.4,16.70,20,-3.75 %,0.01
UDC,185.2,5.29,5160,-3.82 %,0.14
NHH,1687.6,49.00,276610,-4.30 %,1.59
PSH,2170.6,17.20,197180,-4.44 %,1.43
VNG,1434.8,14.75,200690,-4.53 %,1.04
HAI,487.8,2.67,4912070,-4.64 %,2.55
HU1,73.4,7.34,250,-5.05 %,0.04
SFC,260.8,23.10,30,-5.10 %,0.04
DXV,34.3,3.46,3820,-5.21 %,1.87
SCD,201,23.65,5810,-5.40 %,1.68
THI,1268.8,26.00,300,-5.45 %,0.47
TRC,1065,35.50,510,-5.46 %,0.24
VSH,3867,18.75,47520,-5.78 %,1.08
SVC,2335.8,70.10,50,-6.28 %,0.03
FLC,3017.5,4.25,6957160,-6.59 %,0.48
VMD,338.9,21.95,530,-6.60 %,0.65
SVI,981.7,76.50,200,-6.71 %,0.32
ABT,424.6,30.10,1360,-7.24 %,2.43
SGT,398.9,5.39,2430,-7.55 %,0.65
DAH,130.3,3.81,201140,-7.75 %,0.46
LEC,360.2,13.80,520,-8.00 %,0.55
OGC,2136,7.12,529520,-8.72 %,0.77
NBB,2200.4,21.90,1070,-8.75 %,0.01
PTL,565,5.65,12840,-9.60 %,1.36
DC4,345.6,10.80,19610,-10.00 %,1.10
NAF,937.1,19.70,190770,-10.05 %,1.76
SVT,155.2,13.40,1020,-10.07 %,2.29
MSN,99260.7,84.50,791100,-11.43 %,0.78
NNC,857.1,39.10,135740,-11.86 %,1.39
NAV,168,21.00,0,-12.86 %,0
LGC,11436.3,59.30,60,-14.06 %,0.21
PTC,142.2,7.90,20,-14.13 %,0.37
TNT,44.6,1.75,29840,-16.27 %,0.22
COM,621.3,44.00,50,-16.98 %,0.04
CLG,19.7,0.93,66840,-18.42 %,0.89
TLD,203.6,5.35,389610,-29.42 %,0.35
